11172,592113
21867,893892
25097,540368
31806,296805
32788,115223
33903,662627
63163,541200
66206,532630
74862,70281
74996,916313
91843,607816
108094,583335
119326,486148
126340,128697
141554,501394
142994,205076
159971,273975
160499,147858
176822,869795
180943,264075
192367,468315
192660,134039
201349,98453
204583,313355
204970,397762
207978,349973
214069,462331
229572,345455
241212,588308
259987,351608
266961,155852
269567,871105
275594,593056
282873,402151
285597,268724
296435,733518
301325,652099
335135,847060
341527,288910
355394,869362
380808,184342
388216,285927
395761,446933
408109,588573
415411,852696
427751,24591
450865,763020
457667,535815
471180,874140
475482,790136
487987,764654
508372,358847
510021,524336
513609,823873
517138,395135
519395,846219
530281,517863
532360,650575
536531,562825
539903,796129
575980,522966
588652,93329
595723,818037
596008,397363
596879,600908
614927,883290
647581,312354
659496,333205
668677,14858
672308,570198
676747,15518
691670,554685
710873,306650
734748,453217
734751,169085
755838,422523
768443,289295
768502,317999
776222,691788
779075,450117
780557,728791
785797,406163
790549,919881
792530,462240
795048,715114
796020,839732
806220,249669
815736,788301
818245,538180
818721,535300
823380,262307
833888,101696
845919,59770
856525,319166
876779,58816
880940,164580
896465,783097
902903,915278
920306,933914
938588,417768
